Campaign_Type,Platform,Region,Impressions,Clicks,Conversions,Cost,Revenue,Duration_Days,Ad_Budget
advertisement,Google,Europe,7317,672,67,8294.213955,18165.38268,28,18002.8282
email,Google,Europe,1526,974,36,3453.855826,6343.490365,18,14393.88912
advertisement,Twitter,North America,7748,921,89,,15730.46173,8,15035.80273
advertisement,LinkedIn,North America,1405,187,24,4349.081937,9067.133801,24,6894.252089
email,Instagram,North America,8986,935,44,5696.958953,16404.92332,13,19186.64746
email,LinkedIn,North America,4740,306,,1611.759698,15836.17077,23,6988.611162
advertisement,LinkedIn,Africa,2846,228,62,2631.030049,5110.878522,28,16620.09406
social_media,Google,North America,2478,,53,9614.772672,12637.03119,29,8972.244827
advertisement,LinkedIn,Africa,1771,102,35,9011.242481,7089.792236,20,19003.89716
advertisement,Facebook,Africa,6525,853,56,6870.475998,17993.40546,13,15799.39309
advertisement,Google,North America,9770,220,43,5136.801376,18073.78824,28,16307.20569
advertisement,,Asia,1193,484,96,7081.851636,11275.18711,9,8285.887596
email,Instagram,South America,3007,713,59,6567.492602,11665.93428,12,11645.59965
advertisement,Google,Europe,2185,137,93,6116.9703,9549.244091,26,14267.19792
social_media,Instagram,Africa,3394,440,21,1532.593647,15749.09448,8,16549.60427
email,Google,South America,5005,744,96,6695.223496,10379.92045,23,6559.390639
social_media,Twitter,Asia,8429,813,13,7920.280401,9016.887118,,19435.47975
social_media,LinkedIn,Europe,3261,959,96,9946.734892,11483.46589,18,18353.31006
social_media,Twitter,,4736,120,57,1099.706973,6372.312776,23,9055.228857
social_media,Instagram,Africa,7716,341,64,7571.56108,16199.04807,16,17341.40365
email,LinkedIn,North America,5875,554,10,6146.103843,,9,
email,Google,Asia,9921,720,98,4906.469585,14667.27592,26,11927.09722
social_media,LinkedIn,Africa,5378,402,75,2148.131571,7742.967901,24,9716.511587
social_media,Facebook,Asia,8815,695,39,4681.766338,8486.060693,19,13714.5288
email,LinkedIn,North America,4451,694,12,4189.394647,14534.47998,18,15948.33677
email,Facebook,North America,8616,902,30,3725.469001,19894.15199,23,11163.99357
email,LinkedIn,Africa,3800,168,98,7577.91661,16665.76234,10,14438.2879
advertisement,Facebook,North America,9333,228,93,7306.529692,8387.594483,29,15489.69382
advertisement,Instagram,South America,6410,295,58,6301.180819,7640.371326,16,15666.82726
advertisement,Twitter,Europe,2455,239,95,9447.98332,17993.49305,17,5779.491472
social_media,Google,Africa,7892,543,94,4148.689458,11662.75922,12,17896.21709
advertisement,LinkedIn,Asia,6808,382,71,3194.217439,7055.792042,12,11873.79972
social_media,Twitter,South America,7796,411,47,6903.129818,17933.17135,15,8936.241225
social_media,Google,Africa,5796,845,24,2789.326548,17241.38529,21,8626.467612
advertisement,Google,North America,6093,634,61,3835.094565,19758.59546,8,12245.21169
social_media,Facebook,North America,2325,764,88,3021.421961,18646.1553,10,18302.47309
advertisement,Instagram,North America,5976,376,55,1622.382109,17776.85508,11,10675.21373
advertisement,Instagram,North America,2159,160,34,8447.488675,5788.615967,23,16245.8862
email,Twitter,Asia,5650,418,30,3290.864886,6566.230542,14,6452.280965
advertisement,Instagram,South America,5987,989,97,5257.24753,13534.74791,14,12140.85053
email,LinkedIn,Europe,5697,151,14,1389.837459,12972.18869,28,19875.29211
advertisement,Instagram,Asia,1340,955,79,7294.055196,11869.44822,18,16556.56704
advertisement,Twitter,Asia,4828,252,56,3975.049021,10951.83988,27,8157.927327
email,Instagram,Europe,2968,848,96,7702.63055,11468.15727,14,12521.62211
email,LinkedIn,Europe,1703,410,77,4711.627544,13539.46901,25,8504.371455
advertisement,Facebook,North America,6482,913,27,2761.800458,5031.147764,9,11143.41391
social_media,Twitter,Asia,7376,643,30,5618.575741,8910.631612,24,16701.26036
email,Facebook,Africa,2800,666,95,2174.541037,12774.19581,27,16568.37223
social_media,Facebook,Europe,6463,963,32,4964.852439,15833.24148,25,8421.505669
social_media,Facebook,Europe,5912,488,73,3855.749297,7612.350386,25,18833.34977
social_media,Google,South America,5648,647,76,9207.636258,13203.21761,21,13888.52274
email,Google,Africa,1855,721,49,1548.358495,15716.89526,12,10698.86436
social_media,Facebook,Africa,3866,276,19,7246.156727,11669.41487,22,12529.03371
email,Twitter,Europe,1182,461,98,2644.760494,5406.217005,14,14076.0688
social_media,LinkedIn,North America,4112,413,61,3871.405669,11739.02238,22,13398.35798
advertisement,LinkedIn,South America,6670,906,81,4739.626568,9446.673316,24,12296.07553
advertisement,Instagram,Africa,5492,947,84,9172.135804,18944.74412,26,12573.99206
email,Twitter,Europe,6823,196,70,3183.204395,6869.200785,22,7646.178656
advertisement,Google,Africa,2517,980,73,1821.779223,14787.13933,17,17190.99356
advertisement,Facebook,South America,6002,312,14,3868.206436,5790.796495,13,13126.4048
social_media,Instagram,South America,2356,928,62,1942.083735,11692.55657,23,6966.197926
email,LinkedIn,Asia,4629,236,64,2157.368374,13309.69231,23,16492.35652
social_media,Google,Europe,4628,105,46,6164.655382,9469.32397,18,18986.65968
social_media,Google,South America,9210,208,65,1548.117398,11826.13453,19,19209.60349
social_media,Facebook,Asia,7132,646,68,1278.377933,7453.306918,16,10535.26599
social_media,LinkedIn,Asia,7588,138,78,7429.726913,9561.857742,13,7032.753103
social_media,Twitter,Africa,4311,761,82,4254.823854,14316.59487,20,12775.9944
social_media,Google,Africa,7048,524,68,2128.378143,9527.000838,29,6689.13844
social_media,Facebook,Asia,7246,729,11,3282.514938,18496.14618,7,19009.81128
email,Twitter,Africa,1987,360,74,6778.778566,14426.10436,23,7753.69441
advertisement,LinkedIn,South America,4321,525,69,3479.829104,11579.73528,10,8791.487899
social_media,Google,North America,5615,186,60,5450.690126,5581.354033,27,11099.5479
social_media,Twitter,South America,9365,564,39,2095.257761,12493.22503,11,10747.46703
social_media,Twitter,Asia,4741,175,20,6292.842738,16471.64363,26,16919.94339
social_media,Twitter,Asia,4052,570,85,3844.699155,8983.36397,29,11844.75231
social_media,Google,South America,7574,513,48,6642.715911,17101.60354,13,7561.5239
social_media,Google,Africa,1726,924,99,8275.553941,8777.101491,16,9008.148432
advertisement,Instagram,Africa,4760,994,86,6504.817775,17356.19582,23,12636.70078
advertisement,LinkedIn,Asia,6806,825,81,3661.728063,6279.025124,13,7211.808761
social_media,Facebook,Europe,2875,556,72,3301.693314,17992.75563,7,14174.83513
advertisement,Twitter,Africa,7993,384,73,3946.788629,12487.79676,13,13486.2096
email,Instagram,South America,5033,338,70,2481.584619,9448.063844,17,15720.53475
social_media,Facebook,Africa,6443,776,63,2630.546658,8976.698756,15,19065.56923
email,Instagram,South America,1989,698,82,8116.219917,11480.15838,18,18683.81842
email,Google,Asia,4744,752,67,4462.593189,19985.74247,9,19191.13427
social_media,Twitter,Africa,9611,771,94,4923.956625,8304.910902,10,8670.733955
advertisement,Facebook,South America,1593,657,65,6346.44519,6548.249733,10,6973.4796
email,Facebook,Asia,2774,471,43,6306.881456,13775.52753,19,9534.150507
social_media,Facebook,Europe,1935,594,40,1606.391844,12328.137,29,18426.27759
email,Facebook,South America,4808,723,61,8483.867077,12862.94407,25,19580.80212
email,Facebook,Europe,1331,144,98,2595.938979,15004.03126,16,17889.87427
email,Instagram,Europe,8922,500,85,7507.644724,9007.161048,11,6650.265817
email,Twitter,North America,3702,346,10,7954.038893,18659.97493,13,19211.41997
advertisement,Google,Africa,6889,715,64,7434.095807,11535.08099,22,11350.37041
email,Google,South America,6054,696,31,6210.798819,6936.292927,7,5139.654361
email,Google,Europe,4868,549,49,1131.480974,16134.48135,18,11635.90611
email,Google,North America,5200,584,10,4243.379431,14646.56529,8,5691.037545
advertisement,Instagram,Asia,1201,745,74,6443.554864,9736.151037,13,13158.16882
email,LinkedIn,South America,3497,719,72,4487.061663,14322.78086,17,10078.31041
email,Twitter,Europe,2842,117,63,8771.319054,8297.929346,19,12101.524
advertisement,Facebook,Africa,5658,705,51,3779.220478,11672.59039,8,14197.55541
advertisement,LinkedIn,North America,8544,761,30,3641.813132,18491.18783,13,18032.01644
advertisement,Google,Europe,8718,857,88,3393.979238,7003.013497,21,14928.52365
email,LinkedIn,Africa,1770,388,90,3995.027821,10800.44675,17,11510.73303
advertisement,Twitter,Europe,4155,513,31,6016.644679,17317.13637,8,17291.41781
advertisement,Facebook,South America,2628,820,47,7363.137648,19542.36349,13,18583.73206
email,Facebook,South America,1386,737,89,6963.11126,11808.89205,10,6796.399496
advertisement,Twitter,South America,7031,334,17,8269.46038,12604.9943,17,12978.99466
email,Twitter,North America,7439,515,71,8973.225959,13582.57943,8,9267.679396
social_media,Google,South America,7401,598,56,8344.711381,18985.22212,22,5705.917968
advertisement,Facebook,Africa,5008,733,26,1170.50863,17873.10186,13,15028.20043
social_media,LinkedIn,Europe,3466,749,26,7623.261582,7559.016869,19,17941.56166
email,Instagram,Asia,3282,214,99,2875.596163,11551.36727,11,7443.539817
advertisement,Instagram,Africa,2856,773,22,2196.352384,11960.00642,23,17186.20486
email,Twitter,Africa,8980,812,26,6746.399063,16836.44167,27,17800.936
social_media,Google,South America,2998,333,47,3877.688759,14043.39324,18,18715.10664
email,Instagram,North America,6476,639,90,1514.05447,14813.30693,25,8979.276336
advertisement,Facebook,Europe,5669,110,87,2238.66761,19972.99861,13,18559.29598
advertisement,Twitter,North America,5318,305,54,1008.364752,6124.400652,12,9809.941321
social_media,LinkedIn,Europe,8064,778,15,9129.012646,8345.147353,14,13285.0702
email,Twitter,Europe,8446,346,44,1221.561855,11118.43906,19,5757.612062
advertisement,LinkedIn,North America,2431,658,23,2885.101926,10216.73605,11,5658.216326
social_media,Twitter,Africa,6624,857,81,4746.365026,5324.68342,8,15805.59819
advertisement,Twitter,Europe,8461,226,70,4209.141934,6376.664097,15,11667.19967
advertisement,Twitter,North America,2819,246,24,9205.532892,15214.29937,17,8844.385631
email,LinkedIn,Europe,2130,217,63,1362.600512,18189.86695,12,7856.20244
advertisement,LinkedIn,Asia,7563,481,36,5609.932369,12713.40517,13,15049.30236
email,Twitter,Africa,3658,511,22,7124.315163,13087.86619,13,5006.02316
advertisement,Instagram,South America,4500,763,40,9385.281763,8826.401492,25,17088.36754
social_media,Google,Europe,9566,683,44,6583.341269,16518.14545,12,6188.744092
advertisement,Google,Asia,3120,462,69,8233.797124,16276.91881,17,7872.344224
email,Google,South America,5020,608,15,1753.524441,13825.48534,17,10793.54593
email,LinkedIn,South America,4259,236,78,4473.455598,8189.964298,13,12272.8811
social_media,LinkedIn,Europe,2823,274,95,4365.52421,6455.273274,8,10324.92674
advertisement,Instagram,North America,2474,388,67,8976.593948,5963.578638,25,9810.682475
advertisement,Google,Europe,3242,580,58,2362.340541,13890.441,10,19458.74018
social_media,Google,Asia,4243,118,32,2366.975551,17375.52979,12,14623.69522
advertisement,Twitter,South America,7990,294,98,3957.023349,17874.95648,23,5351.494331
advertisement,LinkedIn,Europe,6160,429,43,1490.194426,11954.33112,11,11452.63863
email,Google,North America,4134,274,35,2642.122366,16764.06949,13,18125.1305
advertisement,Instagram,Europe,3070,548,56,9686.886747,19203.20295,15,9521.842796
advertisement,Instagram,Africa,1359,453,14,4853.655459,9127.551687,7,6418.345172
social_media,Google,North America,2141,598,99,6688.172876,10969.4052,7,16375.77157
social_media,LinkedIn,Asia,2635,240,29,7535.001334,18972.18489,25,14090.20748
email,Instagram,South America,5000,857,15,4302.652663,10073.46451,12,13554.68762
advertisement,Twitter,Europe,4361,996,79,2325.04367,18708.14435,24,5803.648394
advertisement,Instagram,North America,7583,192,68,2859.229146,19715.67293,16,7107.485147
advertisement,Facebook,Africa,8835,338,73,3819.398289,14927.16093,17,14338.24094
email,Facebook,North America,1006,304,27,6724.615783,17253.35434,7,8117.357622
email,LinkedIn,Africa,4267,659,13,4584.524942,16243.18346,7,12561.0512
social_media,Google,Asia,7564,532,26,1061.332281,15493.01386,19,13173.22529
email,LinkedIn,South America,5928,344,23,5710.664666,9603.966095,11,9252.607854
advertisement,LinkedIn,Asia,3606,931,87,9293.620527,5856.415069,26,19226.37733
advertisement,LinkedIn,Europe,6906,416,22,8308.698499,10145.77599,7,17636.9616
email,LinkedIn,North America,4273,394,16,8426.902341,15004.03978,26,15835.60261
advertisement,Twitter,Africa,8611,739,53,8155.522158,6537.937973,9,6169.907996
advertisement,Twitter,Africa,1913,955,24,3913.57743,5178.769745,24,6591.95029
email,Instagram,North America,3011,381,28,7886.744504,7095.385589,15,12391.72019
email,Facebook,North America,2442,116,72,2288.45222,15736.0389,20,7410.700238
advertisement,LinkedIn,Europe,6546,170,44,6919.445325,19591.90552,23,19673.98195
advertisement,Instagram,Asia,2829,368,90,6774.1171,19745.97049,29,7377.80351
advertisement,Facebook,Africa,9767,424,44,1230.128192,12409.68724,20,12312.01753
social_media,Google,Europe,7468,893,28,8091.731202,18040.28451,10,10461.81585
social_media,Twitter,Asia,1929,404,29,9129.232946,16052.39684,11,14590.79632
social_media,Facebook,Europe,4699,550,44,3406.737506,12515.60355,27,6935.546133
email,Google,Africa,2054,106,41,8311.516518,13591.40799,23,11454.74642
social_media,Facebook,North America,6744,413,57,1741.653747,7058.407199,28,9120.575492
email,Twitter,North America,2900,916,53,6399.710724,19064.92191,8,18316.27287
email,Twitter,Asia,7980,202,33,5370.821788,10278.94656,29,5608.785682
social_media,Instagram,South America,8069,920,70,5913.3118,11692.23885,28,18705.91241
social_media,LinkedIn,Asia,4415,292,26,9335.846817,15074.90346,11,17494.91208
social_media,Facebook,South America,1442,852,80,8841.837225,10008.53707,10,9463.560747
advertisement,Facebook,Europe,7218,673,59,8065.752915,8813.887415,10,16839.35982
social_media,Google,Europe,5652,628,74,3463.286119,14465.7409,12,5468.203405
advertisement,Twitter,Africa,8939,270,41,9206.367658,5374.761234,26,19502.98325
email,Facebook,South America,8833,636,45,1877.569232,15810.87668,27,12898.92414
advertisement,Twitter,Africa,8597,350,22,8679.962949,12710.35055,19,9549.215391
social_media,Facebook,North America,5458,864,79,3953.440651,14086.30596,28,10438.74819
email,Instagram,South America,7591,486,67,1483.950805,14478.20239,11,5996.080302
email,LinkedIn,Asia,3309,306,23,7024.212858,12905.75235,29,19840.24271
email,Facebook,North America,7268,640,46,3081.519355,13738.00666,29,5589.379177
advertisement,Twitter,North America,1910,728,88,3192.140133,15256.82301,13,14823.60685
social_media,Instagram,Asia,5340,515,77,3754.424496,16296.78271,26,11641.03892
email,Facebook,North America,5009,893,49,1573.162908,15911.78587,7,19233.74327
email,Google,South America,7628,479,68,2594.144298,18044.24687,20,8689.996105
email,LinkedIn,Africa,3169,243,89,1046.256648,7841.651498,10,12981.30236
advertisement,Facebook,North America,3172,124,25,5008.68569,11017.21954,23,12235.34313
advertisement,Instagram,South America,6668,921,71,1758.298397,19216.94099,27,15542.99666
social_media,Google,Europe,7313,767,13,7143.873445,10948.85862,20,6020.153479
advertisement,Instagram,South America,9315,172,54,3120.605661,6873.051154,22,7906.83695
email,Instagram,Africa,9036,731,99,9492.167296,12881.6769,20,8218.472301
social_media,Google,South America,7789,923,37,8841.264647,6642.364588,22,16072.26132
email,Instagram,Asia,1785,932,75,3604.968055,8042.798581,26,7837.080445
email,Google,Africa,7139,192,40,8048.939092,19974.78135,14,13602.37646
advertisement,Facebook,Europe,7344,604,12,8229.204142,13120.43958,9,8228.657308
social_media,Google,Asia,3416,697,17,9879.068027,9260.875836,25,17924.37425
advertisement,Google,South America,9988,435,33,6380.559882,19921.62432,7,19132.78182
advertisement,LinkedIn,Africa,5154,524,24,1737.691612,19498.38378,8,12777.39462
social_media,Google,Europe,6619,598,52,6821.53506,11611.08562,21,10284.63326
email,Google,Asia,2936,463,40,6624.817735,8906.046632,28,8510.866625
email,Facebook,Europe,4807,729,82,6745.155197,17575.99457,16,5746.715023
social_media,LinkedIn,South America,8151,844,54,3764.310833,15734.31075,24,9027.501143
email,Twitter,Europe,4236,298,75,8737.116266,15304.12153,28,14813.5367
social_media,Facebook,North America,3352,817,17,9635.249647,18396.70612,20,13004.25397
social_media,Facebook,Asia,2932,512,80,2959.412617,15341.25701,23,19160.61917
advertisement,Twitter,Europe,9556,438,66,1793.369423,9256.969146,19,10944.15894
social_media,Google,South America,5916,758,89,2750.815299,15407.94743,7,15407.95013
advertisement,Instagram,South America,6498,528,39,8384.969253,9587.202669,11,12339.84121
email,LinkedIn,Europe,1946,882,83,7089.801713,16388.58469,19,12688.64324
email,Instagram,South America,2439,998,27,6724.426081,14296.21782,20,9016.614719
email,Twitter,Africa,8730,238,78,4616.138216,6161.17328,9,11824.26165
email,Facebook,Africa,5857,792,48,6200.451744,12692.53044,21,12061.77496
advertisement,Facebook,Africa,1340,641,69,3770.867127,10149.51454,25,15599.63783
email,LinkedIn,North America,1382,156,52,5294.800715,9928.559491,23,19109.59999
social_media,Facebook,Europe,9491,331,54,8137.567255,14033.84454,9,9939.819162
